prob_threshold,mIoU,task
0.1,0.134,Airspace Opacity
0.2,0.162,Airspace Opacity
0.3,0.184,Airspace Opacity
0.4,0.204,Airspace Opacity
0.5,0.198,Airspace Opacity
0.6,0.147,Airspace Opacity
0.7,0.07200000000000001,Airspace Opacity
0.8,0.006999999999999999,Airspace Opacity
0.1,0.08900000000000001,Atelectasis
0.2,0.115,Atelectasis
0.3,0.134,Atelectasis
0.4,0.12300000000000001,Atelectasis
0.5,0.081,Atelectasis
0.6,0.02,Atelectasis
0.7,0.008,Atelectasis
0.8,0.0,Atelectasis
0.1,0.223,Cardiomegaly
0.2,0.203,Cardiomegaly
0.3,0.158,Cardiomegaly
0.4,0.134,Cardiomegaly
0.5,0.091,Cardiomegaly
0.6,0.084,Cardiomegaly
0.7,0.016,Cardiomegaly
0.8,0.016,Cardiomegaly
0.1,0.21100000000000002,Consolidation
0.2,0.081,Consolidation
0.3,0.0,Consolidation
0.4,0.0,Consolidation
0.5,0.0,Consolidation
0.6,0.0,Consolidation
0.7,0.0,Consolidation
0.8,0.0,Consolidation
0.1,0.12,Edema
0.2,0.161,Edema
0.3,0.18899999999999997,Edema
0.4,0.218,Edema
0.5,0.233,Edema
0.6,0.188,Edema
0.7,0.136,Edema
0.8,0.053,Edema
0.1,0.040999999999999995,Enlarged Cardiomediastinum
0.2,0.01,Enlarged Cardiomediastinum
0.3,0.005,Enlarged Cardiomediastinum
0.4,0.0,Enlarged Cardiomediastinum
0.5,0.0,Enlarged Cardiomediastinum
0.6,0.0,Enlarged Cardiomediastinum
0.7,0.0,Enlarged Cardiomediastinum
0.8,0.0,Enlarged Cardiomediastinum
0.1,0.0,Lung Lesion
0.2,0.0,Lung Lesion
0.3,0.0,Lung Lesion
0.4,0.0,Lung Lesion
0.5,0.0,Lung Lesion
0.6,0.0,Lung Lesion
0.7,0.0,Lung Lesion
0.8,0.0,Lung Lesion
0.1,0.079,Pleural Effusion
0.2,0.10300000000000001,Pleural Effusion
0.3,0.11699999999999999,Pleural Effusion
0.4,0.12300000000000001,Pleural Effusion
0.5,0.12300000000000001,Pleural Effusion
0.6,0.133,Pleural Effusion
0.7,0.09699999999999999,Pleural Effusion
0.8,0.068,Pleural Effusion
0.1,0.035,Pneumothorax
0.2,0.068,Pneumothorax
0.3,0.066,Pneumothorax
0.4,0.08,Pneumothorax
0.5,0.102,Pneumothorax
0.6,0.125,Pneumothorax
0.7,0.085,Pneumothorax
0.8,0.085,Pneumothorax
0.1,0.12300000000000001,Support Devices
0.2,0.147,Support Devices
0.3,0.16,Support Devices
0.4,0.16699999999999998,Support Devices
0.5,0.16399999999999998,Support Devices
0.6,0.16,Support Devices
0.7,0.14400000000000002,Support Devices
0.8,0.114,Support Devices
